新天地名居,3900元/月,一房,45㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/38465.html
招商观园,8000元/月,四房及以上,163㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/38512.html
鼎太风华社区七期,5000元/月,一房,55㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/30672.html
梅林一村,8800元/月,四房及以上,118㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/38434.html
京基凤凰印象,4800元/月,一房,42㎡,3,电梯房,南北通透,http://zf.szhome.com/rent/38466.html
碧海花园(新安),4600元/月,三房,87㎡,精装修,多层楼梯房,南北通透,http://zf.szhome.com/rent/38298.html
丹枫白露苑,9000元/月,二房,119㎡,3,电梯房,南北通透,http://zf.szhome.com/rent/38460.html
金城华庭,6000元/月,二房,65㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/38459.html
新天地名居,5600元/月,二房,54㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/38458.html
华丽花园,7000元/月,三房,87㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/38457.html
城市假日,5633元/月,二房,123㎡,精装修,多层楼梯房,南北通透,http://zf.szhome.com/rent/38454.html
远洋新干线二期,4300元/月,三房,79㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/38299.html
华润深圳湾悦府一期,160000元/月,四房及以上,364㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/35763.html
国香山花园,5200元/月,三房,88㎡,精装修,多层楼梯房,南北通透,http://zf.szhome.com/rent/38314.html
康达尔花园一期,4800元/月,三房,86㎡,精装修,多层楼梯房,南北通透,http://zf.szhome.com/rent/38315.html
康达尔花园一期,4200元/月,二房,72㎡,精装修,多层楼梯房,南北通透,http://zf.szhome.com/rent/38316.html
高发西岸花园一期,9000元/月,三房,108㎡,精装修,电梯房,南北通透,http://zf.szhome.com/rent/38442.html
奥林匹克花园,45000元/月,一房,1000㎡,毛坯房,多层楼梯房,南北通透,http://zf.szhome.com/rent/38336.html
金山湖花园,13000元/月,一房,183㎡,普通装修,多层楼梯房,南北通透,http://zf.szhome.com/rent/38337.html
东梅单身公寓,3200元/月,一房,32㎡,普通装修,电梯房,南北通透,http://zf.szhome.com/rent/38369.html
奥林匹克花园,45000元/月,一房,1000㎡,毛坯房,多层楼梯房,南北通透,http://zf.szhome.com/rent/38367.html
东梅单身公寓,3200元/月,一房,32㎡,普通装修,电梯房,南北通透,http://zf.szhome.com/rent/38370.html
新安市场,1200元/月,一房,36㎡,精装修,多层楼梯房,南北通透,http://zf.szhome.com/rent/38377.html
